Gene Symbol,Gene Accession Id,Allele Symbol,Allele Accession Id,Phenotyping Centre,Colony Id,Sex,Zygosity,Phenotype,Comment
0610009B22Rik,MGI:1913300,0610009B22Rik<tm1b(EUCOMM)Hmgu>,MGI:5694170,BCM,OSISB,both,Homozygous , Viable,
1110017D15Rik,MGI:1920971,1110017D15Rik<em1(IMPC)H>,MGI:5749856,MRC Harwell,H-CBE1-DEL305-EM1-B6N,both,Homozygous , Viable,
1110032A03Rik,MGI:1915971,1110032A03Rik<tm1.1(KOMP)Vlcg>,MGI:5603350,UC Davis,BL5062,both,Homozygous , Viable,
1110059G10Rik,MGI:1913452,1110059G10Rik<tm1a(KOMP)Wtsi>,MGI:4419470,WTSI,MEYZ,both,Homozygous , Viable,
1500011B03Rik,MGI:1913486,1500011B03Rik<tm2(KOMP)Wtsi>,MGI:4419497,WTSI,MCMM,both,Homozygous , Viable,
1500015O10Rik,MGI:1926146,1500015O10Rik<tm1b(EUCOMM)Hmgu>,MGI:5766758,ICS,IP00006383a,both,Homozygous , Viable,
1700001C02Rik,MGI:1922684,1700001C02Rik<tm1a(EUCOMM)Wtsi>,MGI:4432273,WTSI,MGBV,both,Homozygous , Viable,
1700001O22Rik,MGI:1923631,1700001O22Rik<em1(IMPC)J>,MGI:5755393,JAX,JR28994,both,Homozygous , Viable,
1700003F12Rik,MGI:1922730,1700003F12Rik<tm1.1(KOMP)Vlcg>,MGI:5548659,TCP,UCD-10243A-E8-2-1,both,Homozygous , Subviable,
1700006E09Rik,MGI:1922687,1700006E09Rik<tm1b(KOMP)Wtsi>,MGI:5548656,BCM,RICMB,both,Homozygous , Viable,
1700007G11Rik,MGI:1916571,1700007G11Rik<tm1b(EUCOMM)Wtsi>,MGI:5548582,BCM,1700007G11Rik <EPD0546_8_E04>-1,both,Homozygous , Viable,
1700008O03Rik,MGI:1916599,1700008O03Rik<tm1a(KOMP)Wtsi>,MGI:4451336,WTSI,MFDF,both,Homozygous , Viable,
1700010I14Rik,MGI:1914181,1700010I14Rik<tm2b(KOMP)Wtsi>,MGI:5548527,UC Davis,BL3688,both,Homozygous , Viable,
1700012B09Rik,MGI:1916575,1700012B09Rik<tm1.1(KOMP)Wtsi>,MGI:5613646,BCM,RICEB,both,Homozygous , Viable,
1700016H13Rik,MGI:1921468,1700016H13Rik<em1(IMPC)Bay>,-,BCM,OSOOB,both,Homozygous , Viable,
1700016K19Rik,MGI:1921480,1700016K19Rik<tm1.1(KOMP)Vlcg>,MGI:5634509,JAX,JR24901,both,Homozygous , Viable,
1700019D03Rik,MGI:1914330,1700019D03Rik<tm1.1(NCOM)Mfgc>,-,TCP,TCPA0810Cre,both,Homozygous , Viable,
1700024P04Rik,MGI:1916632,1700024P04Rik<tm1b(EUCOMM)Wtsi>,MGI:5637040,WTSI,MUHJ,both,Homozygous , Viable,
1700025G04Rik,MGI:1916649,1700025G04Rik<em1(IMPC)Mbp>,MGI:6140113,UC Davis,CR1393,both,Homozygous , Viable,
1700029H14Rik,MGI:1913751,1700029H14Rik<tm2b(KOMP)Wtsi>,MGI:5637012,WTSI,MUGN,both,Homozygous , Viable,
1700034E13Rik,MGI:1925664,1700034E13Rik<em1(IMPC)Mbp>,MGI:6140114,UC Davis,CR1430,both,Homozygous , Viable,
